id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000019,2000019,    19 Fortuna,19,Fortuna,,N,N,7.3,200,0.037,,JPL 130,2459000.5,59000,20200531,J2000,0.15697472,2.442857074,2.05939027,1.572665329,211.0689729,182.2627447,300.3462316,2.826323878,0.258140999,2459231.59,20210117.09,1394.586684,3.81817025,1.06556,414.6839852,2.34E-08,3.28E-09,5.72E-08,2.61E-06,0.00010365,0.00010407,1.09E-05,3.80E-09,5.21E-10,4.24E-05,2.81E-06,MBA,0.49527
a0000020,2000020,    20 Massalia,20,Massalia,,N,N,6.5,135.68,0.241,3.674,JPL 106,2459000.5,59000,20200531,J2000,0.142493783,2.409358167,2.066039607,0.708566914,206.0132179,257.3509375,222.4603219,2.752676727,0.263543328,2459522.386,20211103.89,1365.999295,3.739902245,1.08305,421.4905685,2.17E-08,3.68E-09,5.25E-08,2.37E-06,0.00018852,0.0001887,8.72E-06,4.20E-09,6.03E-10,3.34E-05,3.13E-06,MBA,0.55935
a0000021,2000021,    21 Lutetia,21,Lutetia,,N,N,7.5,95.76,0.2212,4.1,JPL 107,2459000.5,59000,20200531,J2000,0.163389805,2.435272006,2.037373388,3.063966749,80.86663293,249.9973066,87.97582348,2.833170624,0.259347974,2458661.281,20190626.78,1388.096444,3.800400941,1.02901,400.4598217,2.92E-08,3.76E-09,7.15E-08,3.67E-06,6.29E-05,6.41E-05,1.43E-05,4.38E-09,6.01E-10,5.47E-05,3.22E-06,MBA,0.38524
a0000022,2000022,    22 Kalliope,22,Kalliope,,N,N,6.5,167.536,0.166,3.053,JPL 99,2459000.5,59000,20200531,J2000,0.098049766,2.910347528,2.624988633,13.70173622,66.0046455,357.2564762,274.6358419,3.195706424,0.198512014,2459430.52,20210804.02,1813.492252,4.96507119,1.63844,637.6316948,3.52E-08,6.79E-09,1.00E-07,3.77E-06,1.18E-05,1.89E-05,1.64E-05,7.46E-09,6.95E-10,8.34E-05,6.35E-06,MBA,0.43346
a0000023,2000023,    23 Thalia,23,Thalia,,N,N,6.95,107.53,0.2536,2.2,JPL 93,2459000.5,59000,20200531,J2000,0.23475172,2.625114957,2.008864706,10.11400288,66.84479318,60.63247963,68.51282905,3.241365208,0.231729639,2458704.842,20190809.34,1553.534551,4.253345793,1.04616,407.1340872,2.96E-08,4.37E-09,7.88E-08,3.57E-06,1.88E-05,2.02E-05,7.86E-06,5.39E-09,5.78E-10,3.37E-05,3.88E-06,MBA,0.53314
a0000024,2000024,    24 Themis,24,Themis,,N,N,7.3,198,0.067,,JPL 115,2459000.5,59000,20200531,J2000,0.124421895,3.135384857,2.745274333,0.751651383,35.92039172,106.9819101,66.20951499,3.525495381,0.17752838,2458627.548,20190524.05,2027.844791,5.551936458,1.75798,684.1530766,2.78E-08,6.75E-09,8.75E-08,3.04E-06,0.00023361,0.00023393,1.31E-05,7.59E-09,5.73E-10,7.33E-05,6.54E-06,MBA,0.51161
a0000025,2000025,    25 Phocaea,25,Phocaea,,N,N,7.8,61.054,0.35,2.463,JPL 99,2459000.5,59000,20200531,J2000,0.254895614,2.399561513,1.787923808,21.60666639,214.1202778,90.30961999,278.8823407,3.011199217,0.265158921,2459306.421,20210401.92,1357.676367,3.717115309,0.923068,359.2303736,2.84E-08,3.19E-09,6.76E-08,3.14E-06,8.16E-06,1.05E-05,6.92E-06,4.00E-09,5.29E-10,2.65E-05,2.71E-06,MBA,0.44025
a0000026,2000026,    26 Proserpina,26,Proserpina,,N,N,7.5,94.8,0.1966,1.7,JPL 120,2459000.5,59000,20200531,J2000,0.089828319,2.655210373,2.416697289,3.562758698,45.77913563,193.5713965,196.7396739,2.893723457,0.227801023,2459717.18,20220517.68,1580.32653,4.326698234,1.40459,546.6242903,3.34E-08,7.06E-09,8.80E-08,3.44E-06,7.08E-05,7.52E-05,2.73E-05,7.70E-09,9.09E-10,0.00012054,6.30E-06,MBA,0.5143
a0000027,2000027,    27 Euterpe,27,Euterpe,,N,N,7,96,0.215,,JPL 110,2459000.5,59000,20200531,J2000,0.173130987,2.346231774,1.940026352,1.583696215,94.78724434,356.3779279,85.0623535,2.752437197,0.274250675,2458690.337,20190725.84,1312.667688,3.593888262,0.956641,372.295978,2.86E-08,2.77E-09,6.70E-08,2.95E-06,9.84E-05,9.87E-05,9.42E-06,3.25E-09,4.85E-10,3.41E-05,2.32E-06,MBA,0.54191
a0000028,2000028,    28 Bellona,28,Bellona,,N,N,7.2,120.9,0.1763,3.4,JPL 105,2459000.5,59000,20200531,J2000,0.151782123,2.776153051,2.354782648,9.429957208,144.286937,344.0095153,358.7646029,3.197523455,0.213078174,2459006.298,20200605.8,1689.52077,4.625655769,1.37105,533.5715285,3.03E-08,5.11E-09,8.47E-08,3.57E-06,1.59E-05,1.84E-05,1.03E-05,5.89E-09,5.89E-10,4.84E-05,4.67E-06,MBA,0.54576
a0000029,2000029,    29 Amphitrite,29,Amphitrite,,N,N,5.9,189.559,0.216,1.129,JPL 145,2459000.5,59000,20200531,J2000,0.072959119,2.554818381,2.368421082,6.081867523,356.3358682,63.27357027,20.89746563,2.74121568,0.241359293,2458913.918,20200305.42,1491.552262,4.083647534,1.38747,539.9616999,2.90E-08,3.95E-09,7.42E-08,2.94E-06,3.01E-05,3.81E-05,2.29E-05,4.24E-09,5.59E-10,9.50E-05,3.46E-06,MBA,0.55778
a0000030,2000030,    30 Urania,30,Urania,,N,N,7.5,92.787,0.192,2.04,JPL 110,2459000.5,59000,20200531,J2000,0.127728357,2.36508476,2.062996369,2.096022081,307.468645,87.31846225,137.5647324,2.667173152,0.270977985,2458492.84,20190109.34,1328.521207,3.637292833,1.07075,416.7037775,2.69E-08,3.09E-09,6.33E-08,3.04E-06,8.05E-05,8.16E-05,1.31E-05,3.48E-09,5.31E-10,4.81E-05,2.60E-06,MBA,0.48702
a0000031,2000031,    31 Euphrosyne,31,Euphrosyne,,N,N,6.8,267.08,0.053,2.611,JPL 99,2459000.5,59000,20200531,J2000,0.219942091,3.158100281,2.463501101,26.28000542,31.09092835,61.62383237,157.3707674,3.85269946,0.175616452,2458104.395,20171216.9,2049.921834,5.612380107,1.57532,613.0672844,3.03E-08,5.91E-09,9.55E-08,4.16E-06,7.60E-06,1.24E-05,9.70E-06,7.20E-09,4.93E-10,5.36E-05,5.75E-06,MBA,0.51228
